uid,createDate,startTime,endTime,cpu_num,mem,gpu_num,worker_num
3367e9a7-13c2-4795-b260-b6e0bd656db1,1728305005,1728305007,1728305431,64m,448Mi,8,1
3367e9a7-13c2-4795-b260-b6e0bd656db1,1728305005,1728305007,1728305431,64m,448Mi,8,1
a15f9099-791c-4033-b6be-e66b2b69cdb7,1728305416,1728305419,1728305437,32m,320Mi,8,1
a15f9099-791c-4033-b6be-e66b2b69cdb7,1728305416,1728305419,1728305437,32m,320Mi,8,1
a15f9099-791c-4033-b6be-e66b2b69cdb7,1728305416,1728305419,1728305437,32m,320Mi,8,1
7460d540-8397-4f42-9936-8c256441d1cf,1728305434,1728305437,1728305441,64m,448Mi,8,1
7460d540-8397-4f42-9936-8c256441d1cf,1728305434,1728305437,1728305441,64m,448Mi,8,1
7460d540-8397-4f42-9936-8c256441d1cf,1728305434,1728305437,1728305441,64m,448Mi,8,1
0b54e63b-d89e-4690-a2a9-6278c99c54a9,1728305470,1728305473,1728305477,64m,448Mi,8,4
0b54e63b-d89e-4690-a2a9-6278c99c54a9,1728305470,1728305473,1728305477,64m,448Mi,8,4
0b54e63b-d89e-4690-a2a9-6278c99c54a9,1728305470,1728305473,1728305477,64m,448Mi,8,4
f4313ca0-92ed-4172-ae18-3b24b13554e8,1728304971,1728304974,1728305480,64m,448Mi,8,2
f4313ca0-92ed-4172-ae18-3b24b13554e8,1728304971,1728304974,1728305480,64m,448Mi,8,2
f4313ca0-92ed-4172-ae18-3b24b13554e8,1728304971,1728304974,1728305480,64m,448Mi,8,2
0b05778d-a449-4f51-a15e-b93d5328c35b,1728305148,1728305150,1728305480,32m,320Mi,8,1
0b05778d-a449-4f51-a15e-b93d5328c35b,1728305148,1728305150,1728305480,32m,320Mi,8,1
0b05778d-a449-4f51-a15e-b93d5328c35b,1728305148,1728305150,1728305480,32m,320Mi,8,1
eb4f4b37-d40d-496a-a1bc-3baba926d212,1728305463,1728305465,1728305483,8m,32Mi,1,16
eb4f4b37-d40d-496a-a1bc-3baba926d212,1728305463,1728305465,1728305483,8m,32Mi,1,16
eb4f4b37-d40d-496a-a1bc-3baba926d212,1728305463,1728305465,1728305483,8m,32Mi,1,16
